date,inst_long,inst_short,total_oi,close,retail_long,retail_short,retail_net,retail_ratio
2021-01-04,87645,88457,115758,14800.0,28113,27301,812,0.7014633977781233
2021-01-05,88523,89453,116134,14645.0,27611,26681,930,0.8007990769283758
2021-01-06,88926,90340,115597,14589.0,26671,25257,1414,1.2232151353408824
2021-01-07,91568,92055,119134,14490.0,27566,27079,487,0.4087833867745564
2021-01-08,93731,96159,119993,-69.0,26262,23834,2428,2.0234513679964663
2021-01-11,94275,99307,122532,15196.0,28257,23225,5032,4.106682336042829
2021-01-12,97511,103562,125984,14749.0,28473,22422,6051,4.802990855981712
2021-01-13,97388,104629,129467,15000.0,32079,24838,7241,5.5929310171703985
2021-01-14,95367,107972,129082,14973.0,33715,21110,12605,9.76511054988302
2021-01-15,91232,100850,122564,15300.0,31332,21714,9618,7.847328742534512
2021-01-18,94765,106073,125879,15292.0,31114,19806,11308,8.983229927152266
2021-01-19,84502,96893,117092,15045.0,32590,20199,12391,10.582277183752947
2021-01-20,72090,76897,118127,-120.0,46037,41230,4807,4.069349090385771
2021-01-21,69714,76709,96361,-77.0,26647,19652,6995,7.259160863834954
2021-01-22,70041,82882,100154,-73.0,30113,17272,12841,12.821255266888992
2021-01-25,71594,85775,102683,15674.0,31089,16908,14181,13.810465218195805
2021-01-26,72099,86742,105468,15388.0,33369,18726,14643,13.883832062805778
2021-01-27,71648,88247,104398,14877.0,32750,16151,16599,15.899729879882758
2021-01-28,71548,89246,105753,-72.0,34205,16507,17698,16.735222641438067
2021-01-29,76052,84575,104934,-73.0,28882,20359,8523,8.122248270341357
2021-02-01,75245,84880,104777,-70.0,29532,19897,9635,9.195720434828255
2021-02-02,75914,83316,105712,14942.0,29798,22396,7402,7.002043287422431
2021-02-03,69927,78779,99325,-80.0,29398,20546,8852,8.912157060156053
2021-02-04,72023,80780,99153,14858.0,27130,18373,8757,8.831805391667423
2021-02-05,73690,83648,98855,-88.0,25165,15207,9958,10.073339740023266
2021-02-17,64663,68441,102287,-47.0,37624,33846,3778,3.693528991954012
2021-02-18,64406,73041,87372,-61.0,22966,14331,8635,9.883028887973264
2021-02-19,63792,71319,87022,16125.0,23230,15703,7527,8.649536898715267
2021-02-22,63166,73729,89818,16190.0,26652,16089,10563,11.76044890779131
2021-02-23,64414,76760,92811,16247.0,28397,16051,12346,13.30230252879508
2021-02-24,62830,78441,95069,15376.0,32239,16628,15611,16.42070496165943
2021-02-25,64307,78536,94472,-84.0,30165,15936,14229,15.061605555085105
2021-02-26,66607,83478,99874,15085.0,33267,16396,16871,16.89228427819052
2021-03-02,69503,82159,100238,15258.0,30735,18079,12656,12.625950238432532
2021-03-03,66204,79080,98115,15516.0,31911,19035,12876,13.123375630637518
2021-03-04,65843,78418,96740,15716.0,30897,18322,12575,12.998759561711804
2021-03-05,65997,81021,97779,15855.0,31782,16758,15024,15.36526247967355
2021-03-08,68121,78130,98021,15621.0,29900,19891,10009,10.211077218147132
2021-03-09,67331,80216,98301,15649.0,30970,18085,12885,13.107699819940793
2021-03-10,65750,76014,95755,15688.0,30005,19741,10264,10.7190225053522
2021-03-11,63764,77996,99054,-63.0,35290,21058,14232,14.36792052819674
2021-03-12,63523,77857,96742,16038.0,33219,18885,14334,14.81672903185793
2021-03-15,66373,81952,100171,15362.0,33798,18219,15579,15.552405386788593
2021-03-16,70076,83510,103184,16114.0,33108,19674,13434,13.01946038145449
2021-03-17,62125,72746,100679,15578.0,38554,27933,10621,10.549369779199237
2021-03-18,62566,73185,89020,15465.0,26454,15835,10619,11.928780049427095
2021-03-19,63352,74488,91014,15441.0,27662,16526,11136,12.235480255784823
2021-03-22,62845,71458,89751,15570.0,26906,18293,8613,9.596550456262326
2021-03-23,63809,71752,90333,15547.0,26524,18581,7943,8.793021376462644
2021-03-24,63176,74074,91699,15983.0,28523,17625,10898,11.884535273012792
2021-03-25,63292,71399,90884,15454.0,27592,19485,8107,8.920161964702258
2021-03-26,67385,72167,95449,15698.0,28064,23282,4782,5.010005343167555
2021-03-29,67296,69684,93778,15822.0,26482,24094,2388,2.546439463413594
2021-03-30,68135,69556,94510,15939.0,26375,24954,1421,1.50354459845519
2021-03-31,65969,69681,92306,-46.0,26337,22625,3712,4.021407059129417
2021-04-01,65790,68396,90749,15969.0,24959,22353,2606,2.8716569879557903
2021-04-06,66734,68406,91848,16158.0,25114,23442,1672,1.8203989199547077
2021-04-07,62701,66969,89455,16199.0,26754,22486,4268,4.77111396791683
2021-04-08,63655,67640,93199,16017.0,29544,25559,3985,4.275796950611058
2021-04-09,61747,68226,90121,15979.0,28374,21895,6479,7.189223377459193
2021-04-12,61211,68383,90188,15976.0,28977,21805,7172,7.9522774648512
2021-04-13,64051,70532,91662,16245.0,27611,21130,6481,7.0705417730357185
2021-04-14,61867,67873,87606,16307.0,25739,19733,6006,6.8556948154236
2021-04-15,61979,66657,89947,16505.0,27968,23290,4678,5.200840494958142
2021-04-16,63790,71568,93197,16594.0,29407,21629,7778,8.345762202646007
2021-04-19,65991,71203,95487,16690.0,29496,24284,5212,5.458334642412057
2021-04-20,66498,74787,96611,17319.0,30113,21824,8289,8.579768349359803
2021-04-21,57194,64432,94058,-93.0,36864,29626,7238,7.695251865869995
2021-04-22,56944,66855,83917,16569.0,26973,17062,9911,11.810479402266525
2021-04-23,57560,68153,86206,16364.0,28646,18053,10593,12.288007795281072
2021-04-26,58306,68678,90731,16979.0,32425,22053,10372,11.43159449361299
2021-04-27,59819,70293,91513,-57.0,31694,21220,10474,11.445368417601872
2021-04-28,57135,69296,89689,16808.0,32554,20393,12161,13.55907636387963
2021-04-29,58437,68874,89660,16840.0,31223,20786,10437,11.640642426946242
2021-05-03,60687,75770,95151,17253.0,34464,19381,15083,15.851646330569306
2021-05-04,61544,80530,97360,16397.0,35816,16830,18986,19.500821692686934
2021-05-05,58378,78825,95410,16214.0,37032,16585,20447,21.430667644900954
2021-05-06,60029,76199,93933,16210.0,33904,17734,16170,17.214397496087635
2021-05-07,58789,75486,95106,17287.0,36317,19620,16697,17.556200450024185
2021-05-10,60067,77555,95642,16661.0,35575,18087,17488,18.28485393446394
2021-05-11,65341,80153,97777,15991.0,32436,17624,14812,15.148756865111427
2021-05-12,67789,78043,92162,15110.0,24373,14119,10254,11.12606063236475
2021-05-13,68251,75714,91012,15023.0,22761,15298,7463,8.200017580099328
2021-05-14,69465,72185,89128,15172.0,19663,16943,2720,3.0517906830625616
2021-05-17,68036,70920,87190,14692.0,19154,16270,2884,3.307718775088887
2021-05-18,71273,75968,93597,15180.0,22324,17629,4695,5.01618641623129
2021-05-19,59647,63095,90937,15115.0,31290,27842,3448,3.791635967757898
2021-05-20,60761,63464,78870,15471.0,18109,15406,2703,3.427158615443134
2021-05-21,60681,64574,80112,-113.0,19431,15538,3893,4.8594467745156775
2021-05-24,61175,67240,83654,-120.0,22479,16414,6065,7.250101609008536
2021-05-25,60057,65262,82824,-107.0,22767,17562,5205,6.284410315850478
2021-05-26,60866,65211,83335,16616.0,22469,18124,4345,5.213895722085558
2021-05-27,59482,64754,80592,15890.0,21110,15838,5272,6.541592217589836
2021-05-28,60238,65794,84147,16411.0,23909,18353,5556,6.602730935149204
2021-05-31,60420,66797,83615,16560.0,23195,16818,6377,7.626622017580578
2021-06-01,64381,69923,88368,16684.0,23987,18445,5542,6.271500995835597
2021-06-02,64965,69855,88225,16444.0,23260,18370,4890,5.542646642108246
2021-06-03,66451,70596,89684,16547.0,23233,19088,4145,4.621783149725704
2021-06-04,67507,74142,92595,16440.0,25088,18453,6635,7.165613694043955
2021-06-07,68522,73964,91325,16460.0,22803,17361,5442,5.958937859293731
2021-06-08,68105,74812,91902,17090.0,23797,17090,6707,7.297991338599813
2021-06-09,68599,73489,93885,16105.0,25286,20396,4890,5.208499760345103
2021-06-10,68673,72404,94070,16688.0,25397,21666,3731,3.966195386414372
2021-06-11,68767,72057,93514,16745.0,24747,21457,3290,3.5181897897640995
2021-06-15,68358,74044,96216,16903.0,27858,22172,5686,5.909620021618026
2021-06-16,60532,68173,97508,16891.0,36976,29335,7641,7.836280100094352
2021-06-17,62969,73075,88327,16735.0,25358,15252,10106,11.441575056324794
2021-06-18,61736,70800,86366,16680.0,24630,15566,9064,10.494870666697544
2021-06-21,64484,74228,91807,-167.0,27323,17579,9744,10.613569771368196
2021-06-22,62704,73748,90537,16471.0,27833,16789,11044,12.198327755503275
2021-06-23,63659,75956,94653,16790.0,30994,18697,12297,12.991664289562928
2021-06-24,64511,76647,94993,16835.0,30482,18346,12136,12.77567820786795
2021-06-25,62949,73227,90901,16909.0,27952,17674,10278,11.306806305761214
2021-06-28,63510,74494,93103,16859.0,29593,18609,10984,11.79768643330505
2021-06-29,64623,73836,92366,-213.0,27743,18530,9213,9.974449472749713
2021-06-30,65374,74696,96103,17220.0,30729,21407,9322,9.700009364952185
2021-07-01,64367,74337,92577,16937.0,28210,18240,9970,10.76941356924506
2021-07-02,64854,73992,91748,16849.0,26894,17756,9138,9.95989013384488
2021-07-05,65886,74488,96172,17382.0,30286,21684,8602,8.944391298922763
2021-07-06,65210,74369,94106,17157.0,28896,19737,9159,9.732641914436911
2021-07-07,65426,73367,92834,17155.0,27408,19467,7941,8.553978068380118
2021-07-08,65400,72756,93207,17825.0,27807,20451,7356,7.892111107534842
2021-07-09,64181,73777,92582,17210.0,28401,18805,9596,10.36486574064073
2021-07-12,63544,73830,92390,17363.0,28846,18560,10286,11.133239528087456
2021-07-13,64936,76103,95276,17255.0,30340,19173,11167,11.720685167303413
2021-07-14,62683,72469,91843,0.0,29160,19374,9786,10.655139749354877
2021-07-15,62443,72085,93800,17568.0,31357,21715,9642,10.279317697228144
2021-07-16,64470,74733,93149,17487.0,28679,18416,10263,11.017831646072421
2021-07-19,61713,74891,92982,17794.0,31269,18091,13178,14.172635563872577
2021-07-20,61504,77896,96200,17096.0,34696,18304,16392,17.03950103950104
2021-07-21,56468,73199,97833,17035.0,41365,24634,16731,17.101591487534883
2021-07-22,57388,74253,87333,-93.0,29945,13080,16865,19.311142408940494
2021-07-23,57542,74409,88208,17224.0,30666,13799,16867,19.121848358425538
2021-07-26,58611,73947,91348,16797.0,32737,17401,15336,16.788544905197707
2021-07-27,57239,74729,89630,16828.0,32391,14901,17490,19.51355572910856
2021-07-28,54876,70852,86780,0.0,31904,15928,15976,18.40977183682876
2021-07-29,57624,70013,87608,17132.0,29984,17595,12389,14.14140261163364
2021-07-30,56316,68928,85780,17173.0,29464,16852,12612,14.702727908603405
2021-08-02,56874,70894,88249,17255.0,31375,17355,14020,15.886865573547576
2021-08-03,57262,69373,87831,17126.0,30569,18458,12111,13.788981111452674
2021-08-04,58549,69488,90088,17276.0,31539,20600,10939,12.142571707663617
2021-08-05,56704,70868,89220,17376.0,32516,18352,14164,15.875364268101322
2021-08-06,56705,68986,86385,17070.0,29680,17399,12281,14.216588528100942
2021-08-09,56721,68076,86706,17404.0,29985,18630,11355,13.095979516988443
2021-08-10,56888,70390,87939,17020.0,31051,17549,13502,15.353824810379923
2021-08-11,53733,71655,88957,-115.0,35224,17302,17922,20.146812504918106
2021-08-12,54614,71479,87815,16860.0,33201,16336,16865,19.205147184421794
2021-08-13,54929,73565,91538,16934.0,36609,17973,18636,20.358758111385438
2021-08-16,54875,70559,88910,-114.0,34035,18351,15684,17.640310426273757
2021-08-17,54394,70161,89249,16354.0,34855,19088,15767,17.66630438436285
2021-08-18,48656,64254,88044,16568.0,39388,23790,15598,17.71614192903548
2021-08-19,48889,63756,80582,16174.0,31693,16826,14867,18.449529671638828
2021-08-20,49670,61730,78938,16000.0,29268,17208,12060,15.277812967138768
2021-08-23,52084,63885,81066,16555.0,28982,17181,11801,14.557274319690128
2021-08-24,52995,64278,81720,16647.0,28725,17442,11283,13.806901615271661
2021-08-25,53743,64164,84233,16851.0,30490,20069,10421,12.37163581969062
2021-08-26,51592,60114,79913,16868.0,28321,19799,8522,10.664097205711212
2021-08-27,50405,58903,80884,16893.0,30479,21981,8498,10.506404233222886
2021-08-30,49781,59186,82491,17212.0,32710,23305,9405,11.40124377204786
2021-08-31,54848,64538,86342,17347.0,31494,21804,9690,11.222811609645364
2021-09-01,53810,64391,88120,17343.0,34310,23729,10581,12.007489786654562
2021-09-02,52681,59987,83935,17187.0,31254,23948,7306,8.704354560076249
2021-09-03,51666,63562,86155,17396.0,34489,22593,11896,13.807672218675643
2021-09-06,52419,61588,84934,17354.0,32515,23346,9169,10.795441166081899
2021-09-07,51092,60334,82519,17422.0,31427,22185,9242,11.199844884208485
2021-09-08,49955,58350,81639,17137.0,31684,23289,8395,10.283075490880584
2021-09-09,51737,57760,81843,16915.0,30106,24083,6023,7.359212150092249
2021-09-10,52839,60645,84258,17222.0,31419,23613,7806,9.264402193263548
2021-09-13,54021,62176,84647,17295.0,30626,22471,8155,9.634127612319396
2021-09-14,54273,63292,84816,17319.0,30543,21524,9019,10.633606866628938
2021-09-15,46958,52732,81601,-60.0,34643,28869,5774,7.075893677773556
2021-09-16,46718,55198,72798,17010.0,26080,17600,8480,11.648671666804034
2021-09-17,48929,57078,74527,17023.0,25598,17449,8149,10.9342922699156
2021-09-22,47685,56791,74507,16708.0,26822,17716,9106,12.221670447072087
2021-09-23,50073,57324,77619,16780.0,27546,20295,7251,9.341784872260659
2021-09-24,50404,58664,80403,-34.0,29999,21739,8260,10.273248510627713
2021-09-27,52083,62251,82688,17226.0,30605,20437,10168,12.296826625386997
2021-09-28,49775,60019,80571,16876.0,30796,20552,10244,12.714252026163258
2021-09-29,50072,60162,83762,-30.0,33690,23600,10090,12.04603519495714
2021-09-30,52637,60608,85145,16267.0,32508,24537,7971,9.36167713899818
2021-10-01,57715,62997,86841,-31.0,29126,23844,5282,6.082380442417752
2021-10-04,58624,62285,86361,16078.0,27737,24076,3661,4.239182038188534
2021-10-05,56235,64194,83906,16367.0,27671,19712,7959,9.485614854718376
2021-10-06,56782,60905,82708,16335.0,25926,21803,4123,4.985007496251874
2021-10-07,55264,64624,87016,16529.0,31752,22392,9360,10.756642456559714
2021-10-08,54068,65937,85841,16340.0,31773,19904,11869,13.826726156498642
2021-10-12,56827,64462,85631,16146.0,28804,21169,7635,8.916163538905304
2021-10-13,54442,65415,85280,15772.0,30838,19865,10973,12.86702626641651
2021-10-14,57099,65911,86591,16405.0,29492,20680,8812,10.17657724243859
2021-10-15,57494,65668,87712,16602.0,30218,22044,8174,9.319135352061291
2021-10-18,58615,67999,87246,16550.0,28631,19247,9384,10.755793961900832
2021-10-19,57078,66525,87905,16720.0,30827,21380,9447,10.746828963085148
2021-10-20,49824,55141,83805,16733.0,33981,28664,5317,6.3444901855497875
2021-10-21,51943,58211,75990,16670.0,24047,17779,6268,8.248453743913672
2021-10-22,51453,59387,76758,16854.0,25305,17371,7934,10.336381875504834
2021-10-25,51334,59389,78093,0.0,26759,18704,8055,10.314624870346895
2021-10-26,52748,63592,82175,16399.0,29427,18583,10844,13.196227563127472
2021-10-27,52750,62458,82061,16318.0,29311,19603,9708,11.830223857861835
2021-10-28,53116,62654,81894,16885.0,28778,19240,9538,11.646762888612109
2021-10-29,53630,63807,82155,16945.0,28525,18348,10177,12.387560099811331
2021-11-01,55096,63256,83538,-28.0,28442,20282,8160,9.768009768009769
2021-11-02,56539,66066,86344,16876.0,29805,20278,9527,11.033771889187436
2021-11-03,54783,63210,83999,16434.0,29216,20789,8427,10.03226228883677
2021-11-04,54840,64424,84335,16921.0,29495,19911,9584,11.364202288492322
2021-11-05,57334,63882,87254,16600.0,29920,23372,6548,7.504527013088225
2021-11-08,59078,61933,89176,17263.0,30098,27243,2855,3.2015340450345384
2021-11-09,59115,58686,87123,17390.0,28008,28437,-429,-0.4924072862504735
2021-11-10,57683,58988,85837,17398.0,28154,26849,1305,1.520323403660426
2021-11-11,56926,60414,84647,16794.0,27721,24233,3488,4.120642196415703
2021-11-12,58708,61406,84920,16875.0,26212,23514,2698,3.177107866227037
2021-11-15,61791,63523,88670,17511.0,26879,25147,1732,1.9533100259388745
2021-11-16,61316,64441,88666,17546.0,27350,24225,3125,3.5244625899442856
2021-11-17,52974,56048,85337,4.0,32363,29289,3074,3.602188968442762
2021-11-18,54179,59954,80586,17732.0,26407,20632,5775,7.166257166257166
2021-11-19,53112,60373,80388,17596.0,27276,20015,7261,9.032442653132309
2021-11-22,56357,62854,83441,17836.0,27084,20587,6497,7.786340048657135
2021-11-23,56426,62854,84275,17532.0,27849,21421,6428,7.627410264016612
2021-11-24,57130,63955,85091,17605.0,27961,21136,6825,8.020824764076107
2021-11-25,57013,64725,85208,17541.0,28195,20483,7712,9.050793352736832
2021-11-26,55819,65052,87633,17100.0,31814,22581,9233,10.535985302340443
2021-11-29,56818,65261,85476,17308.0,28658,20215,8443,9.877626468248398
2021-11-30,57649,67573,87408,17205.0,29759,19835,9924,11.353651839648544
2021-12-01,57994,67933,90028,17448.0,32034,22095,9939,11.039898698182787
2021-12-02,56309,67101,87609,17559.0,31300,20508,10792,12.318369117328128
2021-12-03,56932,67266,87641,17706.0,30709,20375,10334,11.791284900902546
2021-12-06,59508,71325,91912,17610.0,32404,20587,11817,12.856863086430497
2021-12-07,60050,71749,91005,17504.0,30955,19256,11699,12.855337618812154
2021-12-08,57318,68683,87884,17716.0,30566,19201,11365,12.931819216239587
2021-12-09,57965,68719,88245,17559.0,30280,19526,10754,12.1865261487903
2021-12-10,57383,69062,88490,17818.0,31107,19428,11679,13.198101480393266
2021-12-13,60428,71945,90463,17752.0,30035,18518,11517,12.731171860318582
2021-12-14,60788,73453,91827,16942.0,31039,18374,12665,13.79223975519183
2021-12-15,52744,63464,88526,17630.0,35782,25062,10720,12.109436775636537
2021-12-16,53399,63984,80621,17714.0,27222,16637,10585,13.12933354833108
2021-12-17,53872,64216,81462,0.0,27590,17246,10344,12.69794505413567
2021-12-20,54752,65310,83836,17580.0,29084,18526,10558,12.593635192518725
2021-12-21,55299,64803,86381,17142.0,31082,21578,9504,11.002419513550434
2021-12-22,54369,61881,83309,17740.0,28940,21428,7512,9.0170329736283
2021-12-23,55534,62447,85018,17954.0,29484,22571,6913,8.131219271213155
2021-12-24,55728,64030,85822,17872.0,30094,21792,8302,9.673510288737154
2021-12-27,58074,65241,89781,18068.0,31707,24540,7167,7.982758044575133
2021-12-28,60313,67022,91701,18207.0,31388,24679,6709,7.316168853120468
2021-12-29,61872,68204,93111,18276.0,31239,24907,6332,6.800485442106733
2021-12-30,60572,68440,90805,17597.0,30233,22365,7868,8.664721105665988
2022-01-03,60299,67913,90826,17545.0,30527,22913,7614,8.38306211877656
2022-01-04,62057,67976,93198,18516.0,31141,25222,5919,6.350994656537694
2022-01-05,63061,67861,93628,18252.0,30567,25767,4800,5.126671508523092
2022-01-06,62399,67978,91438,17723.0,29039,23460,5579,6.101402042914325
2022-01-07,59952,69456,89832,18060.0,29880,20376,9504,10.579748864547154
2022-01-10,60885,68126,89710,17586.0,28825,21584,7241,8.07156392821313
2022-01-11,60163,69547,89192,18057.0,29029,19645,9384,10.521122970670014
2022-01-12,58690,67621,87782,17666.0,29092,20161,8931,10.17406757649632
2022-01-13,58941,66934,88691,18425.0,29750,21757,7993,9.01218838439075
2022-01-14,58499,65690,86547,-37.0,28048,20857,7191,8.308780200353565
2022-01-17,61214,69104,91869,17814.0,30655,22765,7890,8.588315971655291
2022-01-18,63564,69167,91848,17653.0,28284,22681,5603,6.100296141451094
2022-01-19,55017,63105,93501,18218.0,38484,30396,8088,8.650174864439952
2022-01-20,56361,63727,83148,18226.0,26787,19421,7366,8.85890219848944
2022-01-21,56752,65754,86945,17726.0,30193,21191,9002,10.35367186152165
2022-01-24,55460,64829,84758,17367.0,29298,19929,9369,11.05382382783926
2022-01-25,55129,69646,87956,17012.0,32827,18310,14517,16.504843330756287
2022-01-26,55450,69204,85022,17531.0,29572,15818,13754,16.17698948507445
2022-02-07,56958,67836,86221,17899.0,29263,18385,10878,12.616415954349868
2022-02-08,57329,67626,86758,17889.0,29429,19132,10297,11.868646119089881
2022-02-09,59378,64896,88197,18167.0,28819,23301,5518,6.256448632039638
2022-02-10,58993,61650,87308,18235.0,28315,25658,2657,3.043249186787007
2022-02-11,58296,61861,86349,18275.0,28053,24488,3565,4.128594424949913
2022-02-14,56155,61868,83248,17977.0,27093,21380,5713,6.8626273303863154
2022-02-15,55947,59640,80454,17798.0,24507,20814,3693,4.5902006115295695
2022-02-16,50017,52938,83206,17627.0,33189,30268,2921,3.51056414200899
2022-02-17,51969,55765,75396,18177.0,23427,19631,3796,5.034749854103666
2022-02-18,53332,57774,79467,18226.0,26135,21693,4442,5.589741653768231
2022-02-21,52507,58640,79314,18147.0,26807,20674,6133,7.732556673475048
2022-02-22,50871,57701,77888,17878.0,27017,20187,6830,8.769001643385375
2022-02-23,51035,55498,77066,17420.0,26031,21568,4463,5.79114006176524
2022-02-24,52991,60766,83137,17461.0,30146,22371,7775,9.352033390668414
2022-02-25,49505,58653,78923,17493.0,29418,20270,9148,11.591044435715824
2022-03-01,52650,59977,81831,17911.0,29181,21854,7327,8.953819457173932
2022-03-02,51425,60050,81175,17758.0,29750,21125,8625,10.62519248537111
2022-03-03,49712,58030,80220,17902.0,30508,22190,8318,10.368985290451258
2022-03-04,51729,58879,80970,17641.0,29241,22091,7150,8.830431023835988
2022-03-07,50099,59520,84197,17058.0,34098,24677,9421,11.189234770835066
2022-03-08,49245,57727,80050,16078.0,30805,22323,8482,10.595877576514678
2022-03-09,49744,56481,79702,16842.0,29958,23221,6737,8.45273644325111
2022-03-10,51076,52049,79894,16644.0,28818,27845,973,1.2178636693619045
2022-03-11,51292,54063,77818,17082.0,26526,23755,2771,3.560872805777584
2022-03-14,50667,55052,77550,16546.0,26883,22498,4385,5.654416505480335
2022-03-15,54733,62557,85433,16773.0,30700,22876,7824,9.158053679491532
2022-03-16,44133,49632,81423,16855.0,37290,31791,5499,6.7536199845252565
2022-03-17,49068,52587,76648,16675.0,27580,24061,3519,4.591117837386494
2022-03-18,48690,54636,75946,16608.0,27256,21310,5946,7.829247096621284
2022-03-21,50964,55176,79770,17412.0,28806,24594,4212,5.280180518992102
2022-03-22,51648,54888,80075,16755.0,28427,25187,3240,4.046206681236341
2022-03-23,55235,56379,85120,16791.0,29885,28741,1144,1.3439849624060152
2022-03-24,52156,54625,82836,17590.0,30680,28211,2469,2.9805881500796754
2022-03-25,50841,53878,80700,16854.0,29859,26822,3037,3.7633209417596034
2022-03-28,50081,51023,76237,16500.0,26156,25214,942,1.235620499232656
2022-03-29,53429,51464,78867,17545.0,25438,27403,-1965,-2.4915363840389517
2022-03-30,56148,53715,83150,16897.0,27002,29435,-2433,-2.9260372820204448
2022-03-31,52429,54268,80820,17639.0,28391,26552,1839,2.275426874536006
2022-04-01,53785,53486,80173,17554.0,26388,26687,-299,-0.37294350966035944
2022-04-06,53688,52718,80639,17506.0,26951,27921,-970,-1.202891900941232
2022-04-07,54578,55785,83823,16411.0,29245,28038,1207,1.4399389189124705
2022-04-08,56037,54265,82786,17316.0,26749,28521,-1772,-2.140458531635784
2022-04-11,57870,53654,84872,16979.0,27002,31218,-4216,-4.967480441134885
2022-04-12,59316,56300,86400,16999.0,27084,30100,-3016,-3.490740740740741
2022-04-13,61194,57730,88813,16567.0,27619,31083,-3464,-3.900329906657809
2022-04-14,59217,56633,86094,16520.0,26877,29461,-2584,-3.001370594931122
2022-04-15,57751,59732,87734,16367.0,29983,28002,1981,2.2579615656415983
2022-04-18,57683,59458,86440,16228.0,28757,26982,1775,2.0534474780194354
2022-04-19,60027,61723,86596,16226.0,26569,24873,1696,1.9585200240195852
2022-04-20,50711,52134,87377,-65.0,36666,35243,1423,1.628575025464367
2022-04-21,51880,53807,75157,16523.0,23277,21350,1927,2.5639660976356162
2022-04-22,52076,52223,78122,16992.0,26046,25899,147,0.18816722562146387
2022-04-25,50694,52251,79861,16537.0,29167,27610,1557,1.9496374951478193
2022-04-26,50748,53515,80480,15890.0,29732,26965,2767,3.4381212723658052
2022-04-27,52678,59054,83019,15519.0,30341,23965,6376,7.680169599730183
2022-04-28,54484,60017,84936,16108.0,30452,24919,5533,6.514316661957238
